SongID,segment_num,segment_start,segment_end,duration,start_beat_idx,end_beat_idx,num_beats,num_components,seg_type
37,7,124.77866666666667,136.928,12.149333333333331,175,192,17,4,chroma_acts
37,8,136.928,183.629,46.70099999999999,192,256,64,4,chroma_acts
38,1,0.0,14.677333333333332,14.677333333333332,0,31,31,4,chroma_acts
38,2,14.677333333333332,15.157333333333332,0.4800000000000004,31,32,1,4,chroma_acts
38,3,15.157333333333332,44.91733333333333,29.759999999999998,32,94,62,4,chroma_acts
38,4,44.91733333333333,99.15733333333333,54.239999999999995,94,207,113,4,chroma_acts
38,5,99.15733333333333,106.35733333333333,7.200000000000003,207,222,15,4,chroma_acts
38,6,106.35733333333333,122.19733333333333,15.840000000000003,222,255,33,4,chroma_acts
38,7,122.19733333333333,151.95733333333334,29.760000000000005,255,317,62,4,chroma_acts
38,8,151.95733333333334,185.005,33.04766666666666,317,384,67,4,chroma_acts
40,1,0.0,31.73333333333333,31.73333333333333,0,68,68,5,chroma_acts
40,2,31.73333333333333,58.95466666666667,27.221333333333337,68,126,58,5,chroma_acts
40,3,58.95466666666667,62.24,3.285333333333334,126,133,7,5,chroma_acts
40,4,62.24,90.86933333333333,28.629333333333328,133,194,61,5,chroma_acts
40,5,90.86933333333333,105.41866666666667,14.549333333333337,194,225,31,5,chroma_acts
40,6,105.41866666666667,122.784,17.36533333333334,225,262,37,5,chroma_acts
40,7,122.784,132.17066666666665,9.386666666666642,262,282,20,5,chroma_acts
40,8,132.17066666666665,136.86399999999998,4.693333333333328,282,292,10,5,chroma_acts
40,9,136.86399999999998,181.875,45.011000000000024,292,386,94,5,chroma_acts
41,1,0.0,29.621333333333332,29.621333333333332,0,64,64,4,chroma_acts
41,2,29.621333333333332,74.208,44.586666666666666,64,159,95,4,chroma_acts
41,3,74.208,75.616,1.4080000000000013,159,162,3,4,chroma_acts
41,4,75.616,89.22666666666666,13.61066666666666,162,191,29,4,chroma_acts
41,5,89.22666666666666,100.02133333333333,10.794666666666672,191,214,23,4,chroma_acts
41,6,100.02133333333333,116.91733333333333,16.896,214,250,36,4,chroma_acts
41,7,116.91733333333333,128.18133333333333,11.263999999999996,250,274,24,4,chroma_acts
41,8,128.18133333333333,135.6906666666667,7.509333333333359,274,290,16,4,chroma_acts
41,9,135.6906666666667,166.53,30.839333333333315,290,354,64,4,chroma_acts
43,1,0.0,28.693333333333335,28.693333333333335,0,62,62,4,chroma_acts
43,2,28.693333333333335,60.138666666666666,31.44533333333333,62,129,67,4,chroma_acts
43,3,60.138666666666666,88.768,28.629333333333335,129,190,61,4,chroma_acts
43,4,88.768,105.664,16.896,190,226,36,4,chroma_acts
43,5,105.664,120.68266666666666,15.018666666666661,226,258,32,4,chroma_acts
43,6,120.68266666666666,135.232,14.549333333333337,258,289,31,4,chroma_acts
43,7,135.232,166.079,30.84700000000001,289,353,64,4,chroma_acts
46,1,0.0,6.005333333333334,6.005333333333334,0,13,13,6,chroma_acts
46,2,6.005333333333334,41.333333333333336,35.328,13,85,72,6,chroma_acts
46,3,41.333333333333336,57.03466666666667,15.701333333333338,85,117,32,6,chroma_acts
46,4,57.03466666666667,74.69866666666667,17.663999999999994,117,153,36,6,chroma_acts
46,5,74.69866666666667,107.08266666666667,32.384,153,219,66,6,chroma_acts
46,6,107.08266666666667,124.25600000000001,17.173333333333346,219,254,35,6,chroma_acts
46,7,124.25600000000001,126.70933333333335,2.453333333333333,254,259,5,6,chroma_acts
46,8,126.70933333333335,132.10666666666668,5.397333333333336,259,270,11,6,chroma_acts
46,9,132.10666666666668,168.058,35.95133333333331,270,342,72,6,chroma_acts
48,1,0.0,7.306666666666666,7.306666666666666,0,16,16,4,chroma_acts
48,2,7.306666666666666,26.026666666666664,18.72,16,55,39,4,chroma_acts
48,3,26.026666666666664,44.74666666666667,18.720000000000006,55,94,39,4,chroma_acts
48,4,44.74666666666667,56.74666666666667,12.0,94,119,25,4,chroma_acts
48,5,56.74666666666667,79.30666666666667,22.560000000000002,119,166,47,4,chroma_acts
48,6,79.30666666666667,86.98666666666666,7.679999999999993,166,182,16,4,chroma_acts
48,7,86.98666666666666,117.70666666666666,30.72,182,246,64,4,chroma_acts
48,8,117.70666666666666,153.667,35.96033333333334,246,319,73,4,chroma_acts
51,1,0.0,30.517333333333333,30.517333333333333,0,64,64,3,chroma_acts
51,2,30.517333333333333,59.31733333333333,28.799999999999997,64,124,60,3,chroma_acts
51,3,59.31733333333333,61.23733333333333,1.9200000000000017,124,128,4,3,chroma_acts
51,4,61.23733333333333,91.47733333333333,30.240000000000002,128,191,63,3,chroma_acts
51,5,91.47733333333333,121.23733333333332,29.75999999999999,191,253,62,3,chroma_acts
51,6,121.23733333333332,122.67733333333332,1.4399999999999977,253,256,3,3,chroma_acts
51,7,122.67733333333332,151.95733333333334,29.280000000000015,256,317,61,3,chroma_acts
51,8,151.95733333333334,153.39733333333334,1.4399999999999977,317,320,3,3,chroma_acts
51,9,153.39733333333334,184.32,30.922666666666657,320,383,63,3,chroma_acts
52,1,0.0,4.522666666666667,4.522666666666667,0,10,10,4,chroma_acts
52,2,4.522666666666667,8.362666666666668,3.8400000000000007,10,18,8,4,chroma_acts
52,3,8.362666666666668,12.202666666666667,3.84,18,26,8,4,chroma_acts
52,4,12.202666666666667,15.562666666666667,3.3599999999999994,26,33,7,4,chroma_acts
52,5,15.562666666666667,56.842666666666666,41.28,33,119,86,4,chroma_acts
52,6,56.842666666666666,71.72266666666667,14.880000000000003,119,150,31,4,chroma_acts
52,7,71.72266666666667,88.04266666666668,16.320000000000007,150,184,34,4,chroma_acts
52,8,88.04266666666668,92.84266666666667,4.799999999999997,184,194,10,4,chroma_acts
52,9,92.84266666666667,131.453,38.61033333333333,194,273,79,4,chroma_acts
54,1,0.0,7.8613333333333335,7.8613333333333335,0,17,17,4,chroma_acts
54,2,7.8613333333333335,14.901333333333334,7.04,17,32,15,4,chroma_acts
54,3,14.901333333333334,22.410666666666668,7.509333333333334,32,48,16,4,chroma_acts
54,4,22.410666666666668,44.93866666666666,22.527999999999995,48,96,48,4,chroma_acts
54,5,44.93866666666666,52.44799999999999,7.5093333333333305,96,112,16,4,chroma_acts
54,6,52.44799999999999,95.15733333333334,42.70933333333335,112,203,91,4,chroma_acts
54,7,95.15733333333334,140.68266666666668,45.525333333333336,203,300,97,4,chroma_acts
54,8,140.68266666666668,202.844,62.16133333333332,300,431,131,4,chroma_acts
55,1,0.0,11.178666666666667,11.178666666666667,0,24,24,3,chroma_acts
